文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
mpls_DDoS_LOIC-HTTP_2967.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
scion_Infiltration_NMAP-Portscan_3952.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9705
mpls_WebAttack_BruteForce-Web_82.pcap,mpls,WebAttack,BruteForce-Web,WebAttack,? 正确,0.9496
scion_BruteForce_FTP-Patator_4572.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_28180.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
ipv6_BruteForce_FTP-Patator_18.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
Infiltration_Dropbox_4595.pcap,IPv4,Infiltration,Dropbox,Infiltration,? 正确,0.9728
ipv6_DDoS_LOIC-UDP_3900.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
Benign_9813.pcap,IPv4,Benign,,Benign,? 正确,0.9698
mpls_BruteForce_SSH-Patator_4320.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9637
DoS_GoldenEye_3410.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9907
mpls_Benign_8704.pcap,mpls,Benign,,Benign,? 正确,0.9753
Botnet_Screenshots_1591.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.9161
DoS_GoldenEye_4629.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_BruteForce_FTP-Patator_845.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DoS_GoldenEye_4332.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
mpls_DDoS_LOIC-UDP_819.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_Infiltration_NMAP-Portscan_2218.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9744
DoS_GoldenEye_10633.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_Benign_1878.pcap,ipv6,Benign,,Benign,? 正确,0.9735
BruteForce_FTP-Patator_2092.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
Benign_3288.pcap,IPv4,Benign,,Benign,? 正确,0.9704
ipv6_DDoS_LOIC-HTTP_3679.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9567
ipv6_Botnet_Ares_839.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.8194
mpls_DoS_Hulk_7209.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9897
DoS_GoldenEye_7130.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
geo_Benign_11003.pcap,geo,Benign,,Benign,? 正确,0.7978
Benign_4072.pcap,IPv4,Benign,,Benign,? 正确,0.8065
mpls_Benign_4847.pcap,mpls,Benign,,Benign,? 正确,0.8456
Botnet_Screenshots_2254.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.8752
mpls_DoS_Hulk_4785.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9631
mpls_Benign_12467.pcap,mpls,Benign,,Benign,? 正确,0.9419
ipv6_Benign_24785.pcap,ipv6,Benign,,Benign,? 正确,0.7236
Botnet_Ares_729.pcap,IPv4,Botnet,Ares,Botnet,? 正确,0.9022
DDoS_LOIC-HTTP_2052.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.8238
ipv6_Benign_29232.pcap,ipv6,Benign,,Benign,? 正确,0.9817
mpls_DDoS_HOIC_3674.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
ipv6_Infiltration_NMAP-Portscan_544.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.855
Botnet_Screenshots_1129.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.9153
mpls_DoS_Hulk_5046.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9943
mpls_DDoS_HOIC_3187.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
mpls_Infiltration_Dropbox_2429.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9685
mpls_BruteForce_SSH-Patator_2435.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9574
geo_DoS_GoldenEye_19031.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9941
mpls_Benign_8752.pcap,mpls,Benign,,Benign,? 正确,0.9804
ipv6_Botnet_Ares_2076.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.905
Infiltration_Dropbox_727.pcap,IPv4,Infiltration,Dropbox,Benign,? 错误,0.8156
ipv6_DoS_Hulk_993.pcap,ipv6,DoS,Hulk,DoS/DDoS,? 正确,0.9941
mpls_DoS_Hulk_5271.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9946
scion_Benign_17862.pcap,scion,Benign,,Benign,? 正确,0.9716
Infiltration_NMAP-Portscan_1006.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9484
mpls_DDoS_LOIC-UDP_2697.pcap,mpls,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_DoS_Slowloris_1957.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
ipv6_DoS_GoldenEye_25816.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9861
DoS_GoldenEye_5025.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_DoS_GoldenEye_22290.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.994
scion_Benign_18013.pcap,scion,Benign,,Benign,? 正确,0.9867
mpls_Infiltration_Dropbox_4714.pcap,mpls,Infiltration,Dropbox,Infiltration,? 正确,0.9469
scion_BruteForce_FTP-Patator_972.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DoS_GoldenEye_21042.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
mpls_Infiltration_NMAP-Portscan_3771.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9456
mpls_WebAttack_BruteForce-Web_178.pcap,mpls,WebAttack,BruteForce-Web,WebAttack,? 正确,0.9476
scion_Benign_23493.pcap,scion,Benign,,Benign,? 正确,0.742
geo_DDoS_HOIC_997.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.9935
Benign_6950.pcap,IPv4,Benign,,Benign,? 正确,0.9674
ipv6_DoS_GoldenEye_29322.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.989
ipv6_BruteForce_SSH-Patator_2476.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.962
scion_BruteForce_SSH-Patator_4613.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9546
geo_DoS_GoldenEye_19276.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
BruteForce_SSH-Patator_2791.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9603
Botnet_Screenshots_133.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.8643
ipv6_Botnet_Ares_373.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.9163
geo_DoS_GoldenEye_13918.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9923
ipv6_DoS_GoldenEye_25662.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
ipv6_DoS_GoldenEye_24063.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
ipv6_BruteForce_SSH-Patator_2420.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.961
scion_Benign_19417.pcap,scion,Benign,,Benign,? 正确,0.9449
Benign_2554.pcap,IPv4,Benign,,Benign,? 正确,0.9837
mpls_Infiltration_NMAP-Portscan_1323.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9513
ipv6_DoS_GoldenEye_27914.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
scion_Infiltration_Dropbox_4697.pcap,scion,Infiltration,Dropbox,Infiltration,? 正确,0.9737
Infiltration_NMAP-Portscan_3754.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9673
geo_Benign_20122.pcap,geo,Benign,,Benign,? 正确,0.9818
geo_DDoS_LOIC-UDP_2483.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_Benign_24033.pcap,ipv6,Benign,,Botnet,? 错误,0.5825
mpls_Botnet_Ares_949.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.8194
scion_BruteForce_FTP-Patator_2041.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_Benign_10865.pcap,mpls,Benign,,Benign,? 正确,0.974
scion_BruteForce_SSH-Patator_1826.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9594
ipv6_Infiltration_Dropbox_4992.pcap,ipv6,Infiltration,Dropbox,Infiltration,? 正确,0.9456
mpls_DDoS_LOIC-HTTP_3707.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
DDoS_LOIC-UDP_529.pcap,IPv4,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9823
DDoS_LOIC-HTTP_1612.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9571
geo_DDoS_HOIC_2703.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
geo_Benign_12678.pcap,geo,Benign,,Benign,? 正确,0.9792
mpls_DoS_Hulk_7878.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9941
DoS_GoldenEye_189.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
scion_Benign_15394.pcap,scion,Benign,,Benign,? 正确,0.9606
scion_Infiltration_NMAP-Portscan_4780.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.974
Botnet_Screenshots_922.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.7294
DoS_GoldenEye_2127.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9895
scion_Infiltration_NMAP-Portscan_1365.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9515
ipv6_DoS_GoldenEye_23706.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
mpls_DoS_Hulk_2879.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.994
Infiltration_Dropbox_4575.pcap,IPv4,Infiltration,Dropbox,Infiltration,? 正确,0.9738
scion_Benign_15482.pcap,scion,Benign,,Benign,? 正确,0.9531
ipv6_DDoS_HOIC_2340.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
ipv6_Benign_1450.pcap,ipv6,Benign,,Benign,? 正确,0.9739
ipv6_Botnet_Screenshots_2909.pcap,ipv6,Botnet,Screenshots,Botnet,? 正确,0.9013
BruteForce_FTP-Patator_1438.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
scion_BruteForce_SSH-Patator_3490.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9604
geo_Benign_14703.pcap,geo,Benign,,Benign,? 正确,0.8296
BruteForce_SSH-Patator_289.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9623
DDoS_HOIC_3731.pcap,IPv4,DDoS,HOIC,Benign,? 错误,0.6251
scion_Benign_21898.pcap,scion,Benign,,Benign,? 正确,0.9794
ipv6_DDoS_LOIC-HTTP_4402.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9569
BruteForce_FTP-Patator_3170.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_26083.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
ipv6_BruteForce_SSH-Patator_995.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9602
ipv6_DDoS_LOIC-UDP_703.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
ipv6_DoS_GoldenEye_22403.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9942
geo_Benign_12831.pcap,geo,Benign,,Benign,? 正确,0.8151
mpls_BruteForce_SSH-Patator_4905.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9625
ipv6_Benign_28935.pcap,ipv6,Benign,,Benign,? 正确,0.741
Benign_1737.pcap,IPv4,Benign,,Benign,? 正确,0.9681
ipv6_DDoS_HOIC_2253.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
ipv6_Botnet_Ares_1497.pcap,ipv6,Botnet,Ares,Botnet,? 正确,0.5412
DDoS_LOIC-HTTP_2715.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9569
scion_Benign_17985.pcap,scion,Benign,,Benign,? 正确,0.9559
ipv6_DoS_GoldenEye_27930.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
DoS_GoldenEye_9615.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
geo_DDoS_LOIC-UDP_2578.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9821
DoS_GoldenEye_2600.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9926
DoS_GoldenEye_548.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
ipv6_BruteForce_SSH-Patator_2686.pcap,ipv6,BruteForce,SSH-Patator,BruteForce,? 正确,0.9654
scion_BruteForce_FTP-Patator_243.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_BruteForce_SSH-Patator_1.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9528
scion_Infiltration_Dropbox_2968.pcap,scion,Infiltration,Dropbox,Infiltration,? 正确,0.9492
mpls_DoS_Slowloris_4145.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9948
scion_Botnet_Ares_1456.pcap,scion,Botnet,Ares,Botnet,? 正确,0.915
BruteForce_SSH-Patator_354.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9548
scion_Botnet_Screenshots_1684.pcap,scion,Botnet,Screenshots,Botnet,? 正确,0.9148
scion_Infiltration_Dropbox_3262.pcap,scion,Infiltration,Dropbox,Infiltration,? 正确,0.9472
DoS_GoldenEye_8912.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
mpls_Botnet_Ares_2556.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.9022
Botnet_Ares_1726.pcap,IPv4,Botnet,Ares,Botnet,? 正确,0.9029
DDoS_HOIC_2989.pcap,IPv4,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
mpls_DDoS_LOIC-HTTP_827.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9569
mpls_DoS_Slowloris_915.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.993
Benign_7394.pcap,IPv4,Benign,,Benign,? 正确,0.9746
mpls_DoS_Hulk_3822.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9942
ipv6_Infiltration_Dropbox_3404.pcap,ipv6,Infiltration,Dropbox,Infiltration,? 正确,0.9501
ipv6_DDoS_LOIC-UDP_84.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.8238
geo_DoS_GoldenEye_19251.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
ipv6_Benign_508.pcap,ipv6,Benign,,Benign,? 正确,0.9602
BruteForce_FTP-Patator_3154.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
geo_DDoS_LOIC-UDP_4340.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
geo_Benign_14729.pcap,geo,Benign,,Benign,? 正确,0.9654
geo_Benign_14605.pcap,geo,Benign,,Benign,? 正确,0.8063
geo_DDoS_LOIC-UDP_4521.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_DoS_Slowloris_753.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9948
geo_Benign_13816.pcap,geo,Benign,,Benign,? 正确,0.7878
mpls_DDoS_LOIC-HTTP_3538.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
geo_DoS_GoldenEye_13017.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9922
BruteForce_SSH-Patator_4618.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9629
mpls_DoS_Hulk_6837.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.994
scion_Infiltration_Dropbox_4285.pcap,scion,Infiltration,Dropbox,Infiltration,? 正确,0.9714
mpls_Botnet_Ares_335.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.9004
BruteForce_FTP-Patator_2742.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DoS_GoldenEye_6678.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9947
mpls_Infiltration_NMAP-Portscan_4803.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9492
mpls_DDoS_HOIC_2966.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9916
mpls_DDoS_LOIC-HTTP_228.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.8238
mpls_DoS_Slowloris_4360.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
DoS_GoldenEye_7761.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9922
scion_BruteForce_SSH-Patator_4990.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9639
mpls_BruteForce_SSH-Patator_2444.pcap,mpls,BruteForce,SSH-Patator,BruteForce,? 正确,0.9604
mpls_Infiltration_NMAP-Portscan_2076.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9744
mpls_DDoS_HOIC_3025.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9925
scion_Botnet_Screenshots_2211.pcap,scion,Botnet,Screenshots,Benign,? 错误,0.6321
ipv6_BruteForce_FTP-Patator_2070.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DoS_GoldenEye_4857.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
Botnet_Screenshots_706.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.8877
ipv6_DDoS_LOIC-UDP_1850.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_DDoS_HOIC_4769.pcap,mpls,DDoS,HOIC,DoS/DDoS,? 正确,0.9924
ipv6_Benign_28420.pcap,ipv6,Benign,,Benign,? 正确,0.8126
geo_DoS_GoldenEye_14672.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
ipv6_Benign_1758.pcap,ipv6,Benign,,Benign,? 正确,0.9766
ipv6_DDoS_LOIC-UDP_49.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_Infiltration_NMAP-Portscan_3507.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9472
scion_Benign_19047.pcap,scion,Benign,,Benign,? 正确,0.7845
DoS_GoldenEye_6636.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9924
ipv6_DoS_GoldenEye_29347.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9818
ipv6_DoS_GoldenEye_22561.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.5759
ipv6_BruteForce_FTP-Patator_3384.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DDoS_LOIC-HTTP_3184.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.977
scion_Infiltration_Dropbox_465.pcap,scion,Infiltration,Dropbox,Benign,? 错误,0.8243
ipv6_DoS_GoldenEye_23699.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9866
DDoS_LOIC-UDP_368.pcap,IPv4,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_BruteForce_FTP-Patator_3943.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_23327.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9672
geo_Benign_11314.pcap,geo,Benign,,Benign,? 正确,0.6334
ipv6_DoS_Hulk_1574.pcap,ipv6,DoS,Hulk,DoS/DDoS,? 正确,0.9946
Benign_2561.pcap,IPv4,Benign,,Benign,? 正确,0.9803
mpls_Benign_5066.pcap,mpls,Benign,,Benign,? 正确,0.8163
geo_DDoS_LOIC-UDP_4901.pcap,geo,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.984
mpls_Botnet_Screenshots_171.pcap,mpls,Botnet,Screenshots,Botnet,? 正确,0.9163
ipv6_Infiltration_NMAP-Portscan_3713.pcap,ipv6,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9501
ipv6_Botnet_Screenshots_158.pcap,ipv6,Botnet,Screenshots,Botnet,? 正确,0.9017
scion_BruteForce_SSH-Patator_1492.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9495
geo_Benign_11501.pcap,geo,Benign,,Benign,? 正确,0.7897
geo_Benign_14911.pcap,geo,Benign,,Benign,? 正确,0.8189
ipv6_DDoS_HOIC_1284.pcap,ipv6,DDoS,HOIC,DoS/DDoS,? 正确,0.9932
scion_Botnet_Screenshots_972.pcap,scion,Botnet,Screenshots,Botnet,? 正确,0.8984
mpls_DoS_Slowloris_4805.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9948
DDoS_LOIC-HTTP_3612.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9568
Infiltration_NMAP-Portscan_1673.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9461
scion_Infiltration_NMAP-Portscan_864.pcap,scion,Infiltration,NMAP-Portscan,Benign,? 错误,0.7602
scion_BruteForce_FTP-Patator_904.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_DoS_Slowloris_4858.pcap,mpls,DoS,Slowloris,DoS/DDoS,? 正确,0.9818
geo_Benign_12113.pcap,geo,Benign,,Benign,? 正确,0.9254
mpls_Benign_9656.pcap,mpls,Benign,,Benign,? 正确,0.972
BruteForce_SSH-Patator_2820.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9634
ipv6_Benign_23536.pcap,ipv6,Benign,,Benign,? 正确,0.979
scion_BruteForce_FTP-Patator_97.pcap,scion,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
scion_Infiltration_NMAP-Portscan_3911.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9474
mpls_Benign_11918.pcap,mpls,Benign,,Benign,? 正确,0.9753
scion_Infiltration_NMAP-Portscan_2732.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.974
Infiltration_NMAP-Portscan_3853.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9442
BruteForce_FTP-Patator_4661.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
mpls_DDoS_LOIC-HTTP_4746.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
Infiltration_NMAP-Portscan_1391.pcap,IPv4,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9383
mpls_BruteForce_FTP-Patator_2797.pcap,mpls,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
scion_Infiltration_NMAP-Portscan_3139.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9487
Benign_8354.pcap,IPv4,Benign,,Benign,? 正确,0.9691
Botnet_Screenshots_449.pcap,IPv4,Botnet,Screenshots,Botnet,? 正确,0.8993
BruteForce_SSH-Patator_488.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9635
mpls_DDoS_LOIC-HTTP_4782.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9745
BruteForce_SSH-Patator_654.pcap,IPv4,BruteForce,SSH-Patator,BruteForce,? 正确,0.9615
scion_Infiltration_Dropbox_412.pcap,scion,Infiltration,Dropbox,Benign,? 错误,0.831
scion_Botnet_Ares_1862.pcap,scion,Botnet,Ares,Botnet,? 正确,0.9096
BruteForce_FTP-Patator_1795.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
scion_Botnet_Ares_2777.pcap,scion,Botnet,Ares,Benign,? 错误,0.9586
mpls_DoS_Hulk_8143.pcap,mpls,DoS,Hulk,DoS/DDoS,? 正确,0.9943
BruteForce_FTP-Patator_2439.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
DoS_GoldenEye_1979.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9923
geo_DDoS_HOIC_657.pcap,geo,DDoS,HOIC,DoS/DDoS,? 正确,0.9923
scion_Infiltration_NMAP-Portscan_1257.pcap,scion,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.95
Infiltration_Dropbox_4574.pcap,IPv4,Infiltration,Dropbox,Infiltration,? 正确,0.9469
DDoS_LOIC-HTTP_2537.pcap,IPv4,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
scion_BruteForce_SSH-Patator_1091.pcap,scion,BruteForce,SSH-Patator,BruteForce,? 正确,0.9607
geo_Benign_11228.pcap,geo,Benign,,Benign,? 正确,0.8153
mpls_Botnet_Ares_1883.pcap,mpls,Botnet,Ares,Botnet,? 正确,0.8569
mpls_Infiltration_NMAP-Portscan_2419.pcap,mpls,Infiltration,NMAP-Portscan,Infiltration,? 正确,0.9469
scion_Benign_16018.pcap,scion,Benign,,Benign,? 正确,0.9788
geo_Benign_19753.pcap,geo,Benign,,Benign,? 正确,0.9839
BruteForce_FTP-Patator_28.pcap,IPv4,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DDoS_LOIC-UDP_3939.pcap,ipv6,DDoS,LOIC-UDP,DoS/DDoS,? 正确,0.9839
ipv6_DDoS_LOIC-HTTP_2942.pcap,ipv6,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.9745
geo_DoS_GoldenEye_12473.pcap,geo,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
geo_Benign_21395.pcap,geo,Benign,,Benign,? 正确,0.9853
mpls_Benign_3958.pcap,mpls,Benign,,Benign,? 正确,0.9621
DoS_GoldenEye_1435.pcap,IPv4,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
Botnet_Ares_1978.pcap,IPv4,Botnet,Ares,Botnet,? 正确,0.8993
mpls_DDoS_LOIC-HTTP_2319.pcap,mpls,DDoS,LOIC-HTTP,DoS/DDoS,? 正确,0.957
ipv6_BruteForce_FTP-Patator_380.pcap,ipv6,BruteForce,FTP-Patator,BruteForce,? 正确,0.9752
ipv6_DoS_GoldenEye_29464.pcap,ipv6,DoS,GoldenEye,DoS/DDoS,? 正确,0.9948
geo_Benign_17493.pcap,geo,Benign,,Benign,? 正确,0.9714
