文件名,模态,真实攻击类型,攻击手法,预测攻击类型,是否预测正确,Confidence
geo_DoS_GoldenEye_9493.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9767
geo_DoS_GoldenEye_9494.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9745
geo_DoS_GoldenEye_9495.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9496.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9801
geo_DoS_GoldenEye_9497.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9498.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9749
geo_DoS_GoldenEye_9499.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_95.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_950.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9990
geo_DoS_GoldenEye_9500.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9762
geo_DoS_GoldenEye_9501.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9502.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9747
geo_DoS_GoldenEye_9503.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9504.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9792
geo_DoS_GoldenEye_9505.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9506.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8244
geo_DoS_GoldenEye_9507.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9508.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8270
geo_DoS_GoldenEye_9509.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_951.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9979
geo_DoS_GoldenEye_9510.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9779
geo_DoS_GoldenEye_9511.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9512.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9796
geo_DoS_GoldenEye_9513.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9514.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9788
geo_DoS_GoldenEye_9515.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9776
geo_DoS_GoldenEye_9516.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9517.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9849
geo_DoS_GoldenEye_9518.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9519.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9759
geo_DoS_GoldenEye_952.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9520.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9521.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9772
geo_DoS_GoldenEye_9522.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.9084
geo_DoS_GoldenEye_9523.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9803
geo_DoS_GoldenEye_9524.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9525.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9810
geo_DoS_GoldenEye_9526.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9527.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9819
geo_DoS_GoldenEye_9528.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9809
geo_DoS_GoldenEye_9529.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_953.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9530.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9760
geo_DoS_GoldenEye_9531.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9814
geo_DoS_GoldenEye_9532.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9533.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9872
geo_DoS_GoldenEye_9534.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9535.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9536.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9804
geo_DoS_GoldenEye_9537.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9538.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9820
geo_DoS_GoldenEye_9539.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_954.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9540.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9776
geo_DoS_GoldenEye_9541.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9542.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9841
geo_DoS_GoldenEye_9543.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9821
geo_DoS_GoldenEye_9544.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9545.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9903
geo_DoS_GoldenEye_9546.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9547.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9803
geo_DoS_GoldenEye_9548.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9549.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9889
geo_DoS_GoldenEye_955.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9550.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9551.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9808
geo_DoS_GoldenEye_9552.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9553.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8412
geo_DoS_GoldenEye_9554.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.5749
geo_DoS_GoldenEye_9555.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9905
geo_DoS_GoldenEye_9556.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9557.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9856
geo_DoS_GoldenEye_9558.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9559.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9852
geo_DoS_GoldenEye_956.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9988
geo_DoS_GoldenEye_9560.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9561.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9562.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9865
geo_DoS_GoldenEye_9563.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9564.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9898
geo_DoS_GoldenEye_9565.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9566.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9834
geo_DoS_GoldenEye_9567.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8764
geo_DoS_GoldenEye_9568.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9851
geo_DoS_GoldenEye_9569.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_957.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9570.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9925
geo_DoS_GoldenEye_9571.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9868
geo_DoS_GoldenEye_9572.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9573.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9903
geo_DoS_GoldenEye_9574.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9575.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9853
geo_DoS_GoldenEye_9576.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9881
geo_DoS_GoldenEye_9577.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9875
geo_DoS_GoldenEye_9578.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9579.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9859
geo_DoS_GoldenEye_958.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9580.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9581.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9929
geo_DoS_GoldenEye_9582.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9583.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9868
geo_DoS_GoldenEye_9584.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9902
geo_DoS_GoldenEye_9585.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9586.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9899
geo_DoS_GoldenEye_9587.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9588.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9878
geo_DoS_GoldenEye_9589.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_959.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9590.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9907
geo_DoS_GoldenEye_9591.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9592.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9897
geo_DoS_GoldenEye_9593.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8847
geo_DoS_GoldenEye_9594.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9917
geo_DoS_GoldenEye_9595.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9596.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9896
geo_DoS_GoldenEye_9597.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9598.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9905
geo_DoS_GoldenEye_9599.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_96.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_960.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9988
geo_DoS_GoldenEye_9600.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9923
geo_DoS_GoldenEye_9601.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9602.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9928
geo_DoS_GoldenEye_9603.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9604.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9915
geo_DoS_GoldenEye_9605.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9606.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9895
geo_DoS_GoldenEye_9607.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9608.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9609.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9921
geo_DoS_GoldenEye_961.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9610.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9946
geo_DoS_GoldenEye_9611.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9612.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9944
geo_DoS_GoldenEye_9613.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9614.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9926
geo_DoS_GoldenEye_9615.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9616.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9617.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9946
geo_DoS_GoldenEye_9618.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9619.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9950
geo_DoS_GoldenEye_962.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9620.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9945
geo_DoS_GoldenEye_9621.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9966
geo_DoS_GoldenEye_9622.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9623.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9948
geo_DoS_GoldenEye_9624.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9625.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9952
geo_DoS_GoldenEye_9626.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9627.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9966
geo_DoS_GoldenEye_9628.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9629.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_963.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9987
geo_DoS_GoldenEye_9630.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9631.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9632.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9633.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9634.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9635.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9636.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9637.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9638.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9639.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_964.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9640.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9641.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9642.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9643.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9644.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9980
geo_DoS_GoldenEye_9645.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9646.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9647.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9979
geo_DoS_GoldenEye_9648.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9649.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_965.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9988
geo_DoS_GoldenEye_9650.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9651.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9652.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9979
geo_DoS_GoldenEye_9653.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9654.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9655.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9656.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9657.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9658.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9659.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.9786
geo_DoS_GoldenEye_966.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9660.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9661.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9662.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9663.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9664.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9665.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9666.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9667.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9668.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9669.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_967.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9670.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9671.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9672.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9673.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9674.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9978
geo_DoS_GoldenEye_9675.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9676.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9982
geo_DoS_GoldenEye_9677.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9678.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9978
geo_DoS_GoldenEye_9679.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_968.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9989
geo_DoS_GoldenEye_9680.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9982
geo_DoS_GoldenEye_9681.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_9682.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9683.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9684.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9980
geo_DoS_GoldenEye_9685.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9686.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9687.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9688.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9689.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_969.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9690.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9980
geo_DoS_GoldenEye_9691.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.4915
geo_DoS_GoldenEye_9692.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9693.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9694.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9695.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9696.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9697.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9982
geo_DoS_GoldenEye_9698.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9699.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_97.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_970.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9980
geo_DoS_GoldenEye_9700.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9701.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9702.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9703.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9979
geo_DoS_GoldenEye_9704.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
geo_DoS_GoldenEye_9705.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9981
geo_DoS_GoldenEye_9706.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9707.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9983
geo_DoS_GoldenEye_9708.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9980
geo_DoS_GoldenEye_9709.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9986
geo_DoS_GoldenEye_971.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9710.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9711.pcap,geo,DoS,GoldenEye,Benign,✗ 错误,0.8693
geo_DoS_GoldenEye_9712.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9713.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9714.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9982
geo_DoS_GoldenEye_9715.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9984
geo_DoS_GoldenEye_9716.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9978
geo_DoS_GoldenEye_9717.pcap,geo,DoS,GoldenEye,DoS/DDoS,✓ 正确,0.9985
